Bait	Prey	PreyGene.x	Spec	SpecSum	AvgSpec	NumReplicates.x	ctrlCounts	AvgP.x	MaxP.x	TopoAvgP.x	TopoMaxP.x	SaintScore.x	logOddsScore	FoldChange.x	BFDR.x	boosted_by.x
DNMT3A	O75494	SRS10_HUMAN	2|2|4|3	11	2.75	4	0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.6	27.5	0.0	
DNMT3A	O75643	U520_HUMAN	13|28|15|25	81	20.25	4	0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	24.37	202.5	0.0	
DNMT3A	O75934	SPF27_HUMAN	3|2|2|4	11	2.75	4	0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.6	27.5	0.0	
DNMT3A	O95232	LC7L3_HUMAN	8|7|6|6	27	6.75	4	3|2|2|2|0|0|0|0	1.0	1.0	1.0	1.0	1.0	5.95	6.0	0.0	
DNMT3A	P00338	LDHA_HUMAN	5|8|2|5	20	5.0	4	1|2|1|0|0|1|0|1	0.98	1.0	0.98	1.0	0.98	2.74	6.67	0.0	
DNMT3A	P00533	EGFR_HUMAN	10|19|9|18	56	14.0	4	1|3|3|5|0|0|0|0	1.0	1.0	1.0	1.0	1.0	5.95	9.33	0.0	
DNMT3A	P00747	PLMN_HUMAN	5|4|3|12	24	6.0	4	0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	8.45	60.0	0.0	
DNMT3A	P04792	HSPB1_HUMAN	8|5|2|6	21	5.25	4	2|0|0|0|0|0|2|0	0.99	1.0	0.99	1.0	0.99	3.65	10.5	0.0	
DNMT3A	P05023	AT1A1_HUMAN	10|5|2|9	26	6.5	4	0|1|1|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	4.78	26.0	0.0	
DNMT3A	P05141	ADT2_HUMAN	7|7|7|10	31	7.75	4	5|2|5|6|0|0|0|0	0.98	0.99	0.98	0.99	0.98	3.51	3.44	0.0	
DNMT3A	P05783	K1C18_HUMAN	19|18|13|17	67	16.75	4	12|9|8|12|0|0|0|0	0.93	0.99	0.93	0.99	0.93	1.2	3.27	0.0	
DNMT3A	P06576	ATPB_HUMAN	10|13|3|11	37	9.25	4	6|4|3|1|0|0|0|0	0.94	1.0	0.94	1.0	0.94	1.15	5.29	0.0	
DNMT3A	P06748	NPM_HUMAN	9|19|9|20	57	14.25	4	3|7|10|7|0|2|1|0	0.9	1.0	0.9	1.0	0.9	1.42	3.8	0.0	
DNMT3A	P07305	H10_HUMAN	2|6|5|5	18	4.5	4	0|1|3|1|0|1|0|1	0.98	1.0	0.98	1.0	0.98	2.27	5.14	0.0	
DNMT3A	P07437	TBB5_HUMAN	12|17|12|9	50	12.5	4	4|7|6|6|0|0|1|0	0.99	1.0	0.99	1.0	0.99	3.25	4.17	0.0	
DNMT3A	P07910	HNRPC_HUMAN	8|6|6|8	28	7.0	4	2|4|4|1|0|0|0|0	0.99	1.0	0.99	1.0	0.99	4.68	5.09	0.0	
DNMT3A	P08621	RU17_HUMAN	3|7|4|8	22	5.5	4	0|0|0|1|0|0|0|0	1.0	1.0	1.0	1.0	1.0	8.02	44.0	0.0	
DNMT3A	P09493	TPM1_HUMAN	17|12|7|11	47	11.75	4	0|8|6|7|0|0|0|0	0.98	1.0	0.98	1.0	0.98	2.72	4.48	0.0	
DNMT3A	P11021	BIP_HUMAN	18|18|5|13	54	13.5	4	1|4|2|0|0|0|0|1	1.0	1.0	1.0	1.0	1.0	4.78	13.5	0.0	
DNMT3A	P11142	HSP7C_HUMAN	18|18|12|17	65	16.25	4	3|5|4|3|0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.93	8.67	0.0	
DNMT3A	P11182	ODB2_HUMAN	45|47|48|54	194	48.5	4	1|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	70.52	388.0	0.0	
DNMT3A	P11940	PABP1_HUMAN	16|12|14|12	54	13.5	4	0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	22.86	135.0	0.0	
DNMT3A	P12236	ADT3_HUMAN	4|5|5|7	21	5.25	4	0|2|0|1|0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.48	14.0	0.0	
DNMT3A	P12694	ODBA_HUMAN	3|8|5|10	26	6.5	4	0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	8.45	65.0	0.0	
DNMT3A	P14866	HNRPL_HUMAN	8|14|11|17	50	12.5	4	0|1|4|1|0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.89	16.67	0.0	
DNMT3A	P15880	RS2_HUMAN	16|16|10|12	54	13.5	4	6|7|7|7|0|0|0|0	0.98	1.0	0.98	1.0	0.98	3.08	4.0	0.0	
DNMT3A	P16401	H15_HUMAN	2|5|9|12	28	7.0	4	0|1|6|0|0|0|1|0	0.98	1.0	0.98	1.0	0.98	2.6	7.0	0.0	
DNMT3A	P17844	DDX5_HUMAN	5|12|9|18	44	11.0	4	0|0|5|2|0|0|0|0	1.0	1.0	1.0	1.0	1.0	4.91	12.57	0.0	
DNMT3A	P18077	RL35A_HUMAN	4|4|5|4	17	4.25	4	0|2|3|3|0|0|0|0	0.99	0.99	0.99	0.99	0.99	4.13	4.25	0.0	
DNMT3A	P18124	RL7_HUMAN	13|15|16|13	57	14.25	4	4|8|13|12|0|1|0|0	0.93	0.98	0.93	0.98	0.93	2.06	3.0	0.0	
DNMT3A	P18583	SON_HUMAN	6|8|7|10	31	7.75	4	0|1|0|1|0|0|0|0	1.0	1.0	1.0	1.0	1.0	11.17	31.0	0.0	
DNMT3A	P18621	RL17_HUMAN	24|21|16|20	81	20.25	4	11|10|7|8|1|1|3|3	0.98	1.0	0.98	1.0	0.98	2.72	3.68	0.0	
DNMT3A	P19338	NUCL_HUMAN	4|3|2|4	13	3.25	4	0|2|2|1|1|0|0|0	0.98	1.0	0.98	1.0	0.98	2.68	4.33	0.0	
DNMT3A	P22061	PIMT_HUMAN	14|12|9|11	46	11.5	4	5|5|5|5|0|0|0|0	0.99	1.0	0.99	1.0	0.99	4.32	4.6	0.0	
DNMT3A	P22087	FBRL_HUMAN	9|14|7|8	38	9.5	4	2|0|2|2|0|0|0|0	1.0	1.0	1.0	1.0	1.0	8.11	12.67	0.0	
DNMT3A	P22626	ROA2_HUMAN	21|8|4|14	47	11.75	4	2|5|4|4|0|1|0|1	0.93	1.0	0.93	1.0	0.93	0.89	5.53	0.0	
DNMT3A	P23246	SFPQ_HUMAN	4|6|2|11	23	5.75	4	2|1|0|1|0|0|0|0	0.99	1.0	0.99	1.0	0.99	3.55	11.5	0.0	
DNMT3A	P23396	RS3_HUMAN	17|22|17|22	78	19.5	4	8|4|6|4|0|0|2|4	1.0	1.0	1.0	1.0	1.0	7.45	5.57	0.0	
DNMT3A	P23528	COF1_HUMAN	3|3|3|8	17	4.25	4	0|2|3|2|0|0|1|1	0.96	1.0	0.96	1.0	0.96	2.8	3.78	0.0	
DNMT3A	P25398	RS12_HUMAN	10|8|6|10	34	8.5	4	6|1|1|2|0|0|0|0	1.0	1.0	1.0	1.0	1.0	4.73	6.8	0.0	
DNMT3A	P25705	ATPA_HUMAN	22|22|10|23	77	19.25	4	6|8|10|8|0|0|0|0	0.96	1.0	0.96	1.0	0.96	1.63	4.81	0.0	
DNMT3A	P26368	U2AF2_HUMAN	16|19|5|6	46	11.5	4	3|3|2|3|0|2|1|2	0.98	1.0	0.98	1.0	0.98	2.51	5.75	0.0	
DNMT3A	P26373	RL13_HUMAN	19|17|16|15	67	16.75	4	4|4|5|4|0|0|0|0	1.0	1.0	1.0	1.0	1.0	7.77	7.88	0.0	
DNMT3A	P26599	PTBP1_HUMAN	4|8|5|5	22	5.5	4	1|2|2|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	5.46	8.8	0.0	
DNMT3A	P27635	RL10_HUMAN	5|6|5|6	22	5.5	4	2|3|4|5|0|0|0|0	0.97	0.98	0.97	0.98	0.97	3.13	3.14	0.0	
DNMT3A	P28288	ABCD3_HUMAN	2|4|5|4	15	3.75	4	0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.6	37.5	0.0	
DNMT3A	P28799	GRN_HUMAN	11|14|11|14	50	12.5	4	4|3|2|3|1|2|5|5	1.0	1.0	1.0	1.0	1.0	6.33	4.0	0.0	
DNMT3A	P31943	HNRH1_HUMAN	4|6|5|6	21	5.25	4	0|1|1|1|0|0|0|0	1.0	1.0	1.0	1.0	1.0	7.07	14.0	0.0	
DNMT3A	P36578	RL4_HUMAN	21|27|23|28	99	24.75	4	4|9|10|5|0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.5	7.07	0.0	
DNMT3A	P38159	RBMX_HUMAN	22|25|27|29	103	25.75	4	2|1|3|4|0|0|0|0	1.0	1.0	1.0	1.0	1.0	14.59	20.6	0.0	
DNMT3A	P38646	GRP75_HUMAN	15|16|12|17	60	15.0	4	2|1|0|1|0|1|0|0	1.0	1.0	1.0	1.0	1.0	16.91	24.0	0.0	
DNMT3A	P38919	IF4A3_HUMAN	9|9|4|9	31	7.75	4	0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	10.19	77.5	0.0	
DNMT3A	P39019	RS19_HUMAN	11|14|16|14	55	13.75	4	11|7|5|5|0|1|0|4	0.96	0.99	0.96	0.99	0.96	2.09	3.33	0.0	
DNMT3A	P39023	RL3_HUMAN	18|18|16|15	67	16.75	4	2|5|4|4|0|0|1|1	1.0	1.0	1.0	1.0	1.0	9.43	7.88	0.0	
DNMT3A	P42677	RS27_HUMAN	5|5|4|7	21	5.25	4	0|2|2|1|0|0|0|0	1.0	1.0	1.0	1.0	1.0	5.46	8.4	0.0	
DNMT3A	P43243	MATR3_HUMAN	17|19|16|21	73	18.25	4	8|11|9|7|0|0|0|0	0.99	1.0	0.99	1.0	0.99	4.4	4.17	0.0	
DNMT3A	P45880	VDAC2_HUMAN	3|6|3|5	17	4.25	4	0|1|1|1|0|0|0|0	1.0	1.0	1.0	1.0	1.0	5.57	11.33	0.0	
DNMT3A	P46777	RL5_HUMAN	4|6|6|5	21	5.25	4	2|2|2|1|0|0|0|0	1.0	1.0	1.0	1.0	1.0	4.95	6.0	0.0	
DNMT3A	P46781	RS9_HUMAN	12|18|14|13	57	14.25	4	4|2|6|4|0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.28	7.12	0.0	
DNMT3A	P46782	RS5_HUMAN	6|8|4|12	30	7.5	4	3|1|3|1|0|0|0|4	0.98	1.0	0.98	1.0	0.98	2.83	5.0	0.0	
DNMT3A	P47914	RL29_HUMAN	6|11|8|7	32	8.0	4	4|2|4|3|0|0|1|1	0.99	1.0	0.99	1.0	0.99	3.94	4.27	0.0	
DNMT3A	P48047	ATPO_HUMAN	6|7|6|7	26	6.5	4	1|4|3|3|0|0|0|0	0.99	1.0	0.99	1.0	0.99	4.74	4.73	0.0	
DNMT3A	P49411	EFTU_HUMAN	6|10|5|13	34	8.5	4	0|0|2|1|0|0|0|0	1.0	1.0	1.0	1.0	1.0	7.61	22.67	0.0	
DNMT3A	P49788	TIG1_HUMAN	8|5|6|2	21	5.25	4	2|1|2|0|0|0|0|0	0.99	1.0	0.99	1.0	0.99	3.18	8.4	0.0	
DNMT3A	P50402	EMD_HUMAN	3|4|3|8	18	4.5	4	0|0|2|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	5.79	18.0	0.0	
DNMT3A	P50914	RL14_HUMAN	7|7|6|7	27	6.75	4	2|0|1|1|0|0|0|0	1.0	1.0	1.0	1.0	1.0	9.96	13.5	0.0	
DNMT3A	P51571	SSRD_HUMAN	5|4|2|2	13	3.25	4	1|1|2|2|0|0|0|0	0.97	1.0	0.97	1.0	0.97	2.68	4.33	0.0	
DNMT3A	P51991	ROA3_HUMAN	3|13|8|16	40	10.0	4	0|1|5|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	4.18	13.33	0.0	
DNMT3A	P52272	HNRPM_HUMAN	23|24|16|26	89	22.25	4	4|5|9|10|0|0|0|0	1.0	1.0	1.0	1.0	1.0	5.45	6.36	0.0	
DNMT3A	P52597	HNRPF_HUMAN	8|12|9|13	42	10.5	4	5|2|2|1|0|0|0|0	1.0	1.0	1.0	1.0	1.0	5.87	8.4	0.0	
DNMT3A	P53621	COPA_HUMAN	2|2|4|6	14	3.5	4	0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.6	35.0	0.0	
DNMT3A	P55795	HNRH2_HUMAN	2|3|2|3	10	2.5	4	0|1|2|2|0|0|0|0	0.97	0.99	0.97	0.99	0.97	3.18	4.0	0.0	
DNMT3A	P56192	SYMC_HUMAN	2|3|2|3	10	2.5	4	0|0|1|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.21	20.0	0.0	
DNMT3A	P60866	RS20_HUMAN	12|15|6|5	38	9.5	4	3|2|2|2|0|0|0|2	1.0	1.0	1.0	1.0	1.0	4.87	6.91	0.0	
DNMT3A	P61313	RL15_HUMAN	10|11|11|18	50	12.5	4	6|7|9|7|0|0|0|0	0.96	1.0	0.96	1.0	0.96	2.52	3.45	0.0	
DNMT3A	P61978	HNRPK_HUMAN	7|17|12|19	55	13.75	4	2|6|6|3|0|0|0|3	0.99	1.0	0.99	1.0	0.99	2.93	5.5	0.0	
DNMT3A	P62241	RS8_HUMAN	23|26|21|28	98	24.5	4	12|12|10|7|0|1|3|2	1.0	1.0	1.0	1.0	1.0	4.51	4.17	0.0	
DNMT3A	P62244	RS15A_HUMAN	8|8|8|6	30	7.5	4	5|2|3|3|2|0|0|2	0.99	1.0	0.99	1.0	0.99	3.34	3.53	0.0	
DNMT3A	P62249	RS16_HUMAN	20|18|18|15	71	17.75	4	15|8|7|9|0|0|1|0	0.98	0.99	0.98	0.99	0.98	2.77	3.55	0.0	
DNMT3A	P62277	RS13_HUMAN	15|19|17|20	71	17.75	4	7|6|7|6|1|2|3|3	1.0	1.0	1.0	1.0	1.0	6.97	4.06	0.0	
DNMT3A	P62314	SMD1_HUMAN	2|2|2|2	8	2.0	4	2|2|1|0|0|0|0|0	0.96	0.96	0.96	0.96	0.96	3.18	3.2	0.0	
DNMT3A	P62318	SMD3_HUMAN	3|4|3|5	15	3.75	4	1|2|2|1|0|0|0|0	0.99	1.0	0.99	1.0	0.99	4.12	5.0	0.0	
DNMT3A	P62424	RL7A_HUMAN	18|20|16|16	70	17.5	4	5|3|9|7|0|0|0|0	1.0	1.0	1.0	1.0	1.0	5.92	5.83	0.0	
DNMT3A	P62701	RS4X_HUMAN	8|8|6|9	31	7.75	4	1|3|3|2|0|0|0|0	1.0	1.0	1.0	1.0	1.0	5.54	6.89	0.0	
DNMT3A	P62753	RS6_HUMAN	19|21|17|24	81	20.25	4	6|10|3|6|1|0|0|2	1.0	1.0	1.0	1.0	1.0	6.1	5.79	0.0	
DNMT3A	P62826	RAN_HUMAN	6|7|4|7	24	6.0	4	2|1|4|2|3|1|0|2	0.95	1.0	0.95	1.0	0.95	1.61	3.2	0.0	
DNMT3A	P62829	RL23_HUMAN	3|9|2|4	18	4.5	4	3|0|1|0|0|0|0|0	0.99	1.0	0.99	1.0	0.99	3.79	9.0	0.0	
DNMT3A	P62847	RS24_HUMAN	7|13|7|9	36	9.0	4	2|3|4|2|2|2|2|4	0.98	1.0	0.98	1.0	0.98	3.03	3.43	0.0	
DNMT3A	P62857	RS28_HUMAN	4|4|5|4	17	4.25	4	2|1|0|3|0|0|0|0	0.99	1.0	0.99	1.0	0.99	4.74	5.67	0.0	
DNMT3A	P62888	RL30_HUMAN	11|11|10|11	43	10.75	4	3|4|9|7|1|2|2|4	0.92	0.94	0.92	0.94	0.92	1.83	2.69	0.0	
DNMT3A	P62899	RL31_HUMAN	5|6|3|5	19	4.75	4	0|3|4|3|0|0|0|2	0.95	0.99	0.95	0.99	0.95	1.72	3.17	0.0	
DNMT3A	P62906	RL10A_HUMAN	9|14|7|14	44	11.0	4	2|4|6|4|0|0|0|0	0.99	1.0	0.99	1.0	0.99	4.05	5.5	0.0	
DNMT3A	P62910	RL32_HUMAN	13|15|10|11	49	12.25	4	6|3|2|3|0|2|0|0	1.0	1.0	1.0	1.0	1.0	5.96	6.12	0.0	
DNMT3A	P62917	RL8_HUMAN	2|5|6|6	19	4.75	4	2|4|4|1|0|0|0|0	0.92	0.99	0.92	0.99	0.92	0.93	3.45	0.0	
DNMT3A	P62995	TRA2B_HUMAN	2|6|2|4	14	3.5	4	0|1|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.21	28.0	0.0	
DNMT3A	P63244	RACK1_HUMAN	3|9|2|10	24	6.0	4	1|1|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	4.78	24.0	0.0	
DNMT3A	P67809	YBOX1_HUMAN	5|8|4|8	25	6.25	4	0|1|1|2|0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.61	12.5	0.0	
DNMT3A	P68371	TBB4B_HUMAN	2|3|3|2	10	2.5	4	1|3|2|1|0|0|1|0	0.91	0.96	0.91	0.96	0.91	1.84	2.5	0.0	
DNMT3A	P68431	H31_HUMAN	4|4|3|4	15	3.75	4	0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	8.45	37.5	0.0	
DNMT3A	P78527	PRKDC_HUMAN	5|5|4|10	24	6.0	4	0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	10.19	60.0	0.0	
DNMT3A	P83731	RL24_HUMAN	8|9|7|5	29	7.25	4	3|2|2|1|0|0|0|0	1.0	1.0	1.0	1.0	1.0	5.19	7.25	0.0	
DNMT3A	P84090	ERH_HUMAN	12|14|12|20	58	14.5	4	2|1|1|1|0|0|0|0	1.0	1.0	1.0	1.0	1.0	16.91	23.2	0.0	
DNMT3A	P84098	RL19_HUMAN	14|11|8|10	43	10.75	4	5|6|8|4|0|0|0|1	0.97	1.0	0.97	1.0	0.97	2.49	3.58	0.0	
DNMT3A	Q00610	CLH1_HUMAN	32|37|24|29	122	30.5	4	3|4|6|4|0|0|1|0	1.0	1.0	1.0	1.0	1.0	11.77	13.56	0.0	
DNMT3A	Q00839	HNRPU_HUMAN	30|43|37|42	152	38.0	4	5|6|12|8|0|0|0|0	1.0	1.0	1.0	1.0	1.0	7.77	9.81	0.0	
DNMT3A	Q02543	RL18A_HUMAN	6|9|6|5	26	6.5	4	2|2|4|2|0|0|0|0	0.99	1.0	0.99	1.0	0.99	4.4	5.2	0.0	
DNMT3A	Q02878	RL6_HUMAN	11|17|16|15	59	14.75	4	6|9|5|6|0|0|0|0	0.99	1.0	0.99	1.0	0.99	3.93	4.54	0.0	
DNMT3A	Q05519	SRS11_HUMAN	7|5|4|5	21	5.25	4	0|0|2|1|5|3|0|1	0.97	0.99	0.97	0.99	0.97	2.86	3.5	0.0	
DNMT3A	Q07020	RL18_HUMAN	9|10|12|15	46	11.5	4	1|3|6|4|0|0|0|0	1.0	1.0	1.0	1.0	1.0	5.35	6.57	0.0	
DNMT3A	Q07666	KHDR1_HUMAN	8|9|10|11	38	9.5	4	1|2|5|2|0|0|0|0	1.0	1.0	1.0	1.0	1.0	5.87	7.6	0.0	
DNMT3A	Q12905	ILF2_HUMAN	4|7|6|7	24	6.0	4	0|0|1|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	9.74	48.0	0.0	
DNMT3A	Q12906	ILF3_HUMAN	12|19|13|17	61	15.25	4	3|3|2|3|0|0|0|0	1.0	1.0	1.0	1.0	1.0	9.63	11.09	0.0	
DNMT3A	Q13045	FLII_HUMAN	2|4|3|6	15	3.75	4	0|1|3|2|0|0|0|0	0.98	1.0	0.98	1.0	0.98	2.93	5.0	0.0	
DNMT3A	Q13185	CBX3_HUMAN	2|3|3|4	12	3.0	4	0|2|1|1|0|0|0|0	0.99	1.0	0.99	1.0	0.99	3.55	6.0	0.0	
DNMT3A	Q13310	PABP4_HUMAN	24|28|30|36	118	29.5	4	3|1|2|1|0|0|0|0	1.0	1.0	1.0	1.0	1.0	24.55	33.71	0.0	
DNMT3A	Q13435	SF3B2_HUMAN	2|2|3|3	10	2.5	4	0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.6	25.0	0.0	
DNMT3A	Q13523	PRP4B_HUMAN	8|13|13|11	45	11.25	4	0|5|2|3|3|1|3|4	1.0	1.0	1.0	1.0	1.0	4.27	4.29	0.0	
DNMT3A	Q14134	TRI29_HUMAN	16|23|21|24	84	21.0	4	0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	28.87	210.0	0.0	
DNMT3A	Q14204	DYHC1_HUMAN	5|7|2|5	19	4.75	4	0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.6	47.5	0.0	
DNMT3A	Q15029	U5S1_HUMAN	5|7|8|13	33	8.25	4	0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	11.87	82.5	0.0	
DNMT3A	Q15149	PLEC_HUMAN	14|36|35|40	125	31.25	4	1|1|2|2|0|0|0|0	1.0	1.0	1.0	1.0	1.0	26.64	41.67	0.0	
DNMT3A	Q15154	PCM1_HUMAN	13|24|44|35	116	29.0	4	1|3|3|10|0|0|0|0	1.0	1.0	1.0	1.0	1.0	5.75	13.65	0.0	
DNMT3A	Q15233	NONO_HUMAN	5|5|4|10	24	6.0	4	1|1|2|2|0|0|0|0	1.0	1.0	1.0	1.0	1.0	5.67	8.0	0.0	
DNMT3A	Q15287	RNPS1_HUMAN	8|11|5|9	33	8.25	4	0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	11.87	82.5	0.0	
DNMT3A	Q15393	SF3B3_HUMAN	2|4|2|2	10	2.5	4	0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.6	25.0	0.0	
DNMT3A	Q16629	SRSF7_HUMAN	5|9|5|8	27	6.75	4	2|2|3|3|0|0|0|0	0.99	1.0	0.99	1.0	0.99	4.52	5.4	0.0	
DNMT3A	Q1KMD3	HNRL2_HUMAN	11|17|17|20	65	16.25	4	0|1|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	20.83	130.0	0.0	
DNMT3A	Q5T7V8	GORAB_HUMAN	20|15|10|17	62	15.5	4	0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	19.8	155.0	0.0	
DNMT3A	Q6P2Q9	PRP8_HUMAN	9|21|8|28	66	16.5	4	0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	16.69	165.0	0.0	
DNMT3A	Q6PJT7	ZC3HE_HUMAN	21|37|38|40	136	34.0	4	0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	36.27	340.0	0.0	
DNMT3A	Q6ZUT6	CCD9B_HUMAN	6|5|8|10	29	7.25	4	0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	11.87	72.5	0.0	
DNMT3A	Q71DI3	H32_HUMAN	3|5|4|4	16	4.0	4	2|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	5.79	16.0	0.0	
DNMT3A	Q7L014	DDX46_HUMAN	11|14|9|10	44	11.0	4	7|2|3|4|0|0|0|0	1.0	1.0	1.0	1.0	1.0	5.01	5.5	0.0	
DNMT3A	Q7Z5L9	I2BP2_HUMAN	79|76|77|82	314	78.5	4	0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	115.3	785.0	0.0	
DNMT3A	Q86U42	PABP2_HUMAN	27|34|38|40	139	34.75	4	0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	45.05	347.5	0.0	
DNMT3A	Q8IU81	I2BP1_HUMAN	14|24|27|20	85	21.25	4	0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	25.88	212.5	0.0	
DNMT3A	Q8IYB3	SRRM1_HUMAN	5|5|8|6	24	6.0	4	0|1|1|0|0|2|3|3	0.99	1.0	0.99	1.0	0.99	4.73	4.8	0.0	
DNMT3A	Q8N5F7	NKAP_HUMAN	2|3|2|3	10	2.5	4	1|0|1|1|0|0|0|0	0.99	1.0	0.99	1.0	0.99	4.1	6.67	0.0	
DNMT3A	Q8N9Q2	SR1IP_HUMAN	7|8|5|7	27	6.75	4	3|3|3|1|0|0|1|2	0.99	1.0	0.99	1.0	0.99	3.94	4.15	0.0	
DNMT3A	Q8NB37	GALD1_HUMAN	54|46|40|38	178	44.5	4	0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	60.98	445.0	0.0	
DNMT3A	Q8TE68	ES8L1_HUMAN	2|3|5|4	14	3.5	4	0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.6	35.0	0.0	
DNMT3A	Q92499	DDX1_HUMAN	3|7|3|6	19	4.75	4	0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	8.45	47.5	0.0	
DNMT3A	Q92841	DDX17_HUMAN	14|23|19|22	78	19.5	4	1|4|3|4|0|0|0|0	1.0	1.0	1.0	1.0	1.0	8.64	13.0	0.0	
DNMT3A	Q92900	RENT1_HUMAN	3|3|4|2	12	3.0	4	0|0|2|1|0|0|0|0	0.99	1.0	0.99	1.0	0.99	4.1	8.0	0.0	
